trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
46,False,"{'a': 0.5, 'e': 1}",20,0,-70.953124386036,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 1}",25,0,-129.14045675621452,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 1}",30,0,-197.4108440332335,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0
49,False,"{'a': 0.5, 'e': 1}",20,0,-119.26167166451216,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 1}",20,0,-154.88370449422905,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 1}",20,0,-146.7045392198855,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 1}",20,0,-68.52686947979407,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 1}",30,0,-105.15300122737386,"{0: 16, 1: 7, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 1}",30,0,-140.208015171279,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 1}",30,0,-280.312837913076,"{0: 15, 1: 1, 2: 7, 3: 3, 4: 4}",0
56,False,"{'a': 0.5, 'e': 1}",30,0,-131.06615803916984,"{0: 17, 1: 8, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 1}",20,0,-119.66499785136367,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
58,False,"{'a': 0.5, 'e': 1}",20,0,-183.04962608942316,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 1}",25,0,-93.1949700813055,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 1}",25,0,-80.6274780988421,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 1}",20,0,-56.05285843633095,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
62,False,"{'a': 0.5, 'e': 1}",20,0,-171.95350376945132,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
63,False,"{'a': 0.5, 'e': 1}",20,0,-85.70000463712012,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 1}",25,0,-125.2779085855685,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 1}",35,5,-187.2004924870769,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",1
66,False,"{'a': 0.5, 'e': 1}",30,0,-77.0424103703924,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 1}",20,0,-65.32538430953173,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 1}",20,0,-101.82564765358333,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 1}",20,0,-34.55970906742868,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 1}",25,0,-128.49076214635392,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 1}",25,0,-51.99663306967766,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 1}",30,0,-97.77399048061592,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 1}",30,0,-158.88733872685287,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
74,False,"{'a': 0.5, 'e': 1}",25,0,-156.7105469144008,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
75,False,"{'a': 0.5, 'e': 1}",30,0,-116.68707275908866,"{0: 17, 1: 0, 2: 12, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 1}",20,0,-69.09280104254813,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 1}",20,0,-113.9932202812723,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
78,False,"{'a': 0.5, 'e': 1}",20,0,-66.82255455192104,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
79,False,"{'a': 0.5, 'e': 1}",20,6,-40.37980986667494,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 1}",30,8,-134.80637273958257,"{0: 12, 1: 2, 2: 4, 3: 3, 4: 1}",1
81,False,"{'a': 0.5, 'e': 1}",20,0,-55.18379786741476,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 1}",25,0,-147.5940013467429,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
83,False,"{'a': 0.5, 'e': 1}",25,0,-219.9244520626128,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 4}",0
84,False,"{'a': 0.5, 'e': 1}",20,0,-71.68511512416255,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 1}",20,0,-152.8591839213169,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
86,False,"{'a': 0.5, 'e': 1}",20,0,-52.7761494953105,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': 1}",25,0,-41.47841112471301,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 1}",30,0,-293.48013189141443,"{0: 14, 1: 1, 2: 8, 3: 3, 4: 4}",0
89,False,"{'a': 0.5, 'e': 1}",25,0,-63.621359901565555,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 1}",20,0,-50.39199691968024,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 1}",25,0,-184.59056021298147,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
92,False,"{'a': 0.5, 'e': 1}",20,0,-117.19909883222248,"{0: 11, 1: 1, 2: 4, 3: 4, 4: 0}",0
93,False,"{'a': 0.5, 'e': 1}",25,0,-146.13686757001136,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
94,False,"{'a': 0.5, 'e': 1}",20,0,-163.2903979580288,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
95,False,"{'a': 0.5, 'e': 1}",25,0,-91.49979248947238,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 1}",25,0,-38.36263113802008,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 1}",25,0,-74.23080649448008,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 1}",25,0,-50.15509484113637,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 1}",20,0,-15.442500450566182,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 1}",20,0,-121.07028413079327,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
101,False,"{'a': 0.5, 'e': 1}",20,0,-77.70604064307977,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 1}",20,0,-105.57545713366093,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 1}",20,0,-153.2886065710802,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
104,False,"{'a': 0.5, 'e': 1}",30,0,-155.84281705513644,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
105,False,"{'a': 0.5, 'e': 1}",30,0,-151.0004458689879,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
106,False,"{'a': 0.5, 'e': 1}",25,0,-79.66744138090436,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
107,False,"{'a': 0.5, 'e': 1}",20,5,-4.780103346275247,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 1}",20,0,-93.15563157881718,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
109,False,"{'a': 0.5, 'e': 1}",25,0,-179.00813314330594,"{0: 12, 1: 1, 2: 8, 3: 3, 4: 1}",0
110,False,"{'a': 0.5, 'e': 1}",20,0,-116.86216817104304,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 1}",25,0,-141.64200955356694,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 1}",30,0,-117.92959552039878,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 1}",30,0,-93.95925163451625,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
114,False,"{'a': 0.5, 'e': 1}",25,0,-120.29720608863745,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 1}",25,0,-65.44648131163376,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 1}",20,0,-63.84088538327245,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
117,False,"{'a': 0.5, 'e': 1}",30,13,-29.76543192521971,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 1}",20,0,-76.01750575413662,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 1}",20,1,-139.2361188289377,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 2}",1
120,False,"{'a': 0.5, 'e': 1}",30,0,-147.60428230356933,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 1}",20,0,-120.10889025062257,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 1}",20,0,-91.64556232354761,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 1}",25,0,-145.12737336604792,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 1}",30,0,-145.2732521914291,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 1}",25,0,-122.20153130274156,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 1}",30,0,-182.12129456755397,"{0: 17, 1: 0, 2: 10, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 1}",20,0,-111.65065623667248,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 1}",20,0,-102.26154697668773,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",1
129,False,"{'a': 0.5, 'e': 1}",20,10,-19.321731916540784,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 1}",25,0,-75.25052342864495,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 1}",20,0,-156.12574752647214,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
132,False,"{'a': 0.5, 'e': 1}",25,0,-175.32881402637784,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
133,False,"{'a': 0.5, 'e': 1}",35,0,-247.73662028170713,"{0: 20, 1: 0, 2: 10, 3: 2, 4: 3}",0
134,False,"{'a': 0.5, 'e': 1}",30,0,-212.679617993929,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
135,False,"{'a': 0.5, 'e': 1}",25,0,-143.01364829705912,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
136,False,"{'a': 0.5, 'e': 1}",20,0,-51.657796080339125,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
137,False,"{'a': 0.5, 'e': 1}",30,0,-139.69480622386146,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",1
138,False,"{'a': 0.5, 'e': 1}",25,0,-201.4020609412392,"{0: 9, 1: 5, 2: 7, 3: 2, 4: 2}",0
139,False,"{'a': 0.5, 'e': 1}",20,0,-64.32327719253524,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
